"REF_DATE","GEO","DGUID","Type of building","Type of work","Variables","Seasonal adjustment, value type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3633661","","","","0"
"2021-05","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3303159","","","","0"
"2021-06","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3347459","","","","0"
"2021-07","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3102339","","","","0"
"2021-08","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3129907","","","","0"
"2021-09","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3084093","","","","0"
"2021-10","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3443476","","","","0"
"2021-11","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3528879","","","","0"
"2021-12","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3467757","","","","0"
"2022-01","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3502151","","","","0"
"2022-02","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3500324","","","","0"
