"REF_DATE","GEO","DGUID","Prices","Industries","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-04","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2588","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2620","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2591","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2591","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2624","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2631","","","","0"
"2019-10","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2746","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2169","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","161","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","217","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","238","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","272","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","308","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","783","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","1280","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","1298","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","1743","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","1863","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","1964","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2058","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2126","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2234","","","","0"
"2023-10","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2320","","","","0"
"2024-01","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2392","","","","0"
"2024-04","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2434","","","","0"
"2024-07","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2414","","","","0"
"2024-10","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2443","","","","0"
"2025-01","Canada","2016A000011124","2017 constant prices","Transportation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400171","1.2.3.1","2436","","","","0"
"2010-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1914","","","","0"
"2010-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1929","","","","0"
"2010-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1936","","","","0"
"2010-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1939","","","","0"
"2011-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1948","","","","0"
"2011-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1999","","","","0"
"2011-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2008","","","","0"
"2011-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2023","","","","0"
"2012-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2006","","","","0"
