"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7090","","","","0"
"2011-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7105","","","","0"
"2011-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7158","","","","0"
"2011-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7228","","","","0"
"2012-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7231","","","","0"
"2012-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7212","","","","0"
"2012-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7145","","","","0"
"2012-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7174","","","","0"
"2013-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7140","","","","0"
"2013-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7148","","","","0"
"2013-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7169","","","","0"
"2013-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7313","","","","0"
"2014-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7463","","","","0"
"2014-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7580","","","","0"
"2014-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7647","","","","0"
"2014-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7733","","","","0"
"2015-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7859","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","7917","","","","0"
